,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
22,22.0,24127.50402,14072.0,71.0,13.0,3.0,0.0,2.0,22.0,8532.0,0.0,1.0,0.0,0.0,18.0,2.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0
23,23.0,2450.190996,0.0,73.0,4.0,44.0,3.0,1.0,23.0,7000.0,2.0,0.0,0.0,0.0,47.0,4.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0
24,24.0,2392.10789,17870.0,61.0,30.0,91.0,0.0,1.0,24.0,2626.0,1.0,0.0,0.0,0.0,54.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
25,25.0,5802.065978,97541.0,72.0,22.0,1.0,0.0,3.0,25.0,2010.0,3.0,0.0,0.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,0.0,0.0
26,26.0,3946.372085,0.0,111.0,15.0,47.0,0.0,1.0,26.0,7270.0,1.0,0.0,2.0,0.0,51.0,4.0,0.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,2.0
27,27.0,5346.916576,10511.0,139.0,33.0,64.0,0.0,1.0,27.0,2643.0,4.0,0.0,1.0,4.0,34.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0
28,28.0,12902.56014,86584.0,111.0,33.0,54.0,2.0,2.0,28.0,2190.0,0.0,0.0,2.0,1.0,42.0,1.0,0.0,1.0,2.0,1.0,5.0,0.0,2.0,0.0,0.0
29,29.0,3235.360468,75690.0,80.0,17.0,44.0,1.0,1.0,29.0,1482.0,3.0,0.0,1.0,4.0,56.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,2.0
30,30.0,2454.58354,23158.0,63.0,4.0,6.0,1.0,1.0,30.0,6591.0,0.0,0.0,0.0,1.0,51.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,0.0,2.0
31,31.0,18975.45611,65999.0,237.0,1.0,14.0,0.0,6.0,31.0,7160.0,2.0,0.0,1.0,3.0,14.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0
32,32.0,4715.321344,0.0,65.0,19.0,56.0,0.0,3.0,32.0,5328.0,1.0,0.0,0.0,0.0,17.0,4.0,1.0,2.0,1.0,1.0,5.0,0.0,2.0,0.0,1.0
33,33.0,5018.885233,54500.0,63.0,28.0,17.0,0.0,6.0,33.0,166.0,4.0,0.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,2.0
34,34.0,4932.916345,37260.0,62.0,19.0,42.0,0.0,8.0,34.0,6447.0,3.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0
35,35.0,5744.229745,68987.0,71.0,11.0,40.0,0.0,6.0,35.0,8720.0,0.0,0.0,0.0,3.0,6.0,1.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0
36,36.0,13891.73567,42305.0,117.0,10.0,62.0,0.0,2.0,36.0,3827.0,1.0,0.0,2.0,0.0,29.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,2.0
37,37.0,7380.976717,65706.0,91.0,19.0,86.0,0.0,8.0,37.0,1188.0,3.0,0.0,1.0,4.0,55.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,3.0,0.0,2.0
38,38.0,3090.034104,0.0,90.0,7.0,79.0,0.0,1.0,38.0,837.0,3.0,0.0,1.0,0.0,17.0,4.0,1.0,1.0,2.0,1.0,4.0,2.0,0.0,5.0,2.0
39,39.0,2521.633095,53243.0,66.0,4.0,15.0,2.0,1.0,39.0,7732.0,0.0,0.0,0.0,3.0,56.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,1.0
40,40.0,2652.061785,0.0,70.0,7.0,1.0,1.0,1.0,40.0,5680.0,2.0,0.0,0.0,3.0,9.0,4.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,5.0,1.0
41,41.0,2771.045031,50071.0,71.0,3.0,32.0,0.0,1.0,41.0,4257.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,5.0,1.0
42,42.0,3939.00637,60021.0,99.0,12.0,28.0,0.0,1.0,42.0,2955.0,1.0,1.0,1.0,0.0,20.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,2.0
43,43.0,12231.87968,43244.0,103.0,15.0,16.0,0.0,2.0,43.0,6536.0,0.0,0.0,0.0,3.0,57.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,0.0,4.0,1.0
44,44.0,2443.665166,92834.0,61.0,15.0,56.0,0.0,1.0,44.0,1122.0,4.0,0.0,0.0,1.0,46.0,1.0,1.0,1.0,1.0,2.0,7.0,1.0,2.0,0.0,0.0
45,45.0,12819.10289,10105.0,172.0,5.0,4.0,3.0,3.0,45.0,2552.0,3.0,0.0,2.0,2.0,17.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,3.0,1.0
46,46.0,4468.510542,0.0,73.0,7.0,57.0,3.0,5.0,46.0,590.0,0.0,0.0,0.0,0.0,24.0,4.0,1.0,1.0,2.0,1.0,5.0,2.0,2.0,0.0,1.0
47,47.0,5514.344018,23218.0,71.0,7.0,10.0,0.0,4.0,47.0,8243.0,3.0,0.0,0.0,3.0,11.0,1.0,0.0,1.0,2.0,1.0,4.0,3.0,0.0,5.0,1.0
48,48.0,3343.875326,0.0,92.0,11.0,77.0,0.0,1.0,48.0,3708.0,1.0,0.0,1.0,0.0,56.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0
49,49.0,2294.478927,0.0,62.0,11.0,56.0,0.0,1.0,49.0,6402.0,0.0,0.0,0.0,3.0,9.0,4.0,0.0,1.0,1.0,1.0,4.0,3.0,1.0,0.0,1.0
50,50.0,36707.42639,24804.0,104.0,1.0,28.0,0.0,2.0,50.0,7771.0,3.0,0.0,0.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,3.0,2.0
51,51.0,33473.34946,33190.0,106.0,18.0,95.0,0.0,2.0,51.0,5568.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0
52,52.0,7983.431709,36014.0,69.0,4.0,40.0,3.0,2.0,52.0,5985.0,2.0,0.0,0.0,3.0,44.0,1.0,0.0,0.0,1.0,2.0,6.0,3.0,1.0,0.0,1.0
53,53.0,4854.745666,29834.0,64.0,19.0,44.0,0.0,3.0,53.0,8325.0,4.0,0.0,0.0,0.0,38.0,1.0,1.0,1.0,2.0,1.0,5.0,3.0,0.0,0.0,1.0
54,54.0,4293.997319,16701.0,113.0,20.0,26.0,0.0,1.0,54.0,1997.0,1.0,0.0,2.0,0.0,8.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,2.0
55,55.0,7164.395543,46623.0,91.0,1.0,53.0,0.0,3.0,55.0,6622.0,0.0,0.0,1.0,1.0,54.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0
56,56.0,7619.5158,64749.0,64.0,24.0,59.0,0.0,2.0,56.0,180.0,1.0,0.0,0.0,1.0,35.0,1.0,1.0,2.0,1.0,2.0,7.0,1.0,1.0,0.0,1.0
57,57.0,3958.002823,0.0,101.0,29.0,12.0,0.0,1.0,57.0,2008.0,0.0,0.0,0.0,3.0,46.0,4.0,0.0,1.0,1.0,1.0,4.0,0.0,2.0,3.0,2.0
58,58.0,4499.493252,16969.0,124.0,34.0,47.0,2.0,1.0,58.0,4369.0,3.0,0.0,1.0,3.0,20.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,2.0,3.0,1.0
59,59.0,4059.567414,11621.0,108.0,4.0,98.0,0.0,1.0,59.0,7019.0,3.0,0.0,2.0,4.0,51.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0
60,60.0,4458.113369,17622.0,65.0,1.0,36.0,1.0,3.0,60.0,718.0,0.0,1.0,0.0,0.0,11.0,3.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0
61,61.0,8110.333139,11489.0,105.0,4.0,50.0,0.0,6.0,61.0,6220.0,1.0,0.0,2.0,0.0,14.0,2.0,0.0,1.0,1.0,1.0,5.0,0.0,2.0,5.0,2.0
62,62.0,3339.764873,0.0,94.0,20.0,53.0,0.0,1.0,62.0,1823.0,3.0,0.0,1.0,0.0,6.0,4.0,1.0,1.0,2.0,1.0,5.0,0.0,0.0,5.0,2.0
63,63.0,24261.01777,66525.0,100.0,0.0,86.0,0.0,2.0,63.0,4766.0,1.0,0.0,0.0,3.0,19.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,3.0,1.0
64,64.0,6613.973653,0.0,63.0,21.0,28.0,0.0,2.0,64.0,7714.0,0.0,0.0,0.0,0.0,15.0,4.0,0.0,1.0,2.0,1.0,5.0,2.0,1.0,0.0,0.0
65,65.0,2930.693543,33663.0,73.0,29.0,71.0,0.0,1.0,65.0,6474.0,4.0,0.0,0.0,1.0,24.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,0.0,1.0
66,66.0,8672.194272,22547.0,112.0,7.0,60.0,0.0,3.0,66.0,1904.0,3.0,0.0,0.0,1.0,18.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0
67,67.0,11638.66926,61486.0,97.0,5.0,65.0,0.0,2.0,67.0,1227.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,5.0,3.0,1.0,5.0,2.0
68,68.0,6846.150323,0.0,95.0,13.0,20.0,0.0,5.0,68.0,2423.0,3.0,1.0,1.0,0.0,19.0,4.0,0.0,1.0,0.0,1.0,5.0,0.0,2.0,5.0,0.0
69,69.0,11727.77648,29879.0,102.0,17.0,0.0,0.0,2.0,69.0,6279.0,1.0,0.0,2.0,1.0,30.0,0.0,0.0,1.0,1.0,1.0,5.0,2.0,3.0,0.0,1.0
70,70.0,22643.83478,93011.0,113.0,17.0,12.0,0.0,2.0,70.0,5571.0,3.0,0.0,0.0,3.0,47.0,1.0,1.0,0.0,0.0,1.0,5.0,3.0,0.0,3.0,1.0
71,71.0,2614.474305,65186.0,65.0,29.0,27.0,0.0,1.0,71.0,4419.0,3.0,0.0,0.0,4.0,33.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,3.0,5.0,0.0
72,72.0,2451.752695,26840.0,64.0,1.0,47.0,2.0,1.0,72.0,2761.0,3.0,0.0,0.0,4.0,34.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0
73,73.0,6781.270203,0.0,104.0,30.0,3.0,1.0,5.0,73.0,2477.0,3.0,0.0,0.0,0.0,53.0,4.0,1.0,1.0,2.0,1.0,5.0,0.0,0.0,4.0,1.0
74,74.0,4974.801539,75644.0,65.0,5.0,68.0,3.0,9.0,74.0,510.0,3.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,5.0,1.0
75,75.0,8591.604933,38984.0,73.0,27.0,38.0,0.0,2.0,75.0,8743.0,3.0,0.0,0.0,0.0,33.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,2.0
76,76.0,5592.161392,71811.0,71.0,17.0,48.0,0.0,6.0,76.0,1361.0,3.0,0.0,0.0,3.0,31.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0
77,77.0,8009.472833,20961.0,67.0,20.0,33.0,0.0,2.0,77.0,8382.0,2.0,0.0,0.0,1.0,37.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0
78,78.0,11318.08982,38923.0,99.0,6.0,83.0,2.0,2.0,78.0,4031.0,4.0,0.0,1.0,1.0,55.0,1.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0
79,79.0,58166.55351,61321.0,186.0,0.0,30.0,1.0,2.0,79.0,5077.0,1.0,0.0,0.0,0.0,50.0,1.0,1.0,0.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0
80,80.0,8025.229358,0.0,77.0,20.0,26.0,0.0,2.0,80.0,9049.0,1.0,0.0,1.0,1.0,18.0,4.0,0.0,0.0,2.0,1.0,5.0,2.0,1.0,5.0,0.0
81,81.0,5780.182197,51066.0,74.0,23.0,0.0,0.0,8.0,81.0,7468.0,1.0,1.0,0.0,3.0,49.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,2.0,0.0,1.0
82,82.0,4118.539113,34378.0,102.0,12.0,54.0,0.0,1.0,82.0,1289.0,1.0,0.0,0.0,2.0,19.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0
83,83.0,2523.07015,43072.0,63.0,35.0,15.0,0.0,1.0,83.0,8566.0,2.0,0.0,0.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,0.0,0.0
84,84.0,6554.216396,25222.0,90.0,28.0,69.0,0.0,3.0,84.0,6524.0,3.0,0.0,1.0,1.0,19.0,0.0,0.0,1.0,2.0,1.0,5.0,1.0,0.0,0.0,2.0
85,85.0,7703.397294,36765.0,66.0,15.0,32.0,1.0,2.0,85.0,2539.0,4.0,0.0,0.0,3.0,51.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,1.0
86,86.0,5926.729379,23091.0,96.0,28.0,90.0,5.0,5.0,86.0,1624.0,1.0,1.0,1.0,1.0,17.0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0
87,87.0,2683.470677,48269.0,69.0,3.0,79.0,3.0,1.0,87.0,5626.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0
88,88.0,2695.182419,32720.0,67.0,13.0,12.0,0.0,1.0,88.0,795.0,3.0,0.0,0.0,0.0,31.0,1.0,0.0,1.0,0.0,1.0,4.0,2.0,1.0,0.0,1.0
89,89.0,6047.02516,20396.0,76.0,15.0,60.0,1.0,4.0,89.0,5022.0,1.0,1.0,1.0,1.0,41.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,1.0
90,90.0,13171.01282,21513.0,119.0,21.0,81.0,1.0,2.0,90.0,3474.0,3.0,0.0,2.0,1.0,19.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,2.0
91,91.0,10656.88195,72540.0,88.0,7.0,3.0,0.0,2.0,91.0,4970.0,4.0,1.0,1.0,0.0,50.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,5.0,1.0
92,92.0,2527.653796,80744.0,63.0,24.0,84.0,0.0,1.0,92.0,1019.0,3.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0
93,93.0,2672.095756,52822.0,67.0,23.0,88.0,0.0,1.0,93.0,7846.0,3.0,0.0,0.0,0.0,32.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,2.0
94,94.0,5313.294035,0.0,77.0,8.0,10.0,1.0,9.0,94.0,5084.0,1.0,0.0,1.0,3.0,16.0,4.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0
95,95.0,20946.19251,69738.0,74.0,2.0,26.0,1.0,2.0,95.0,6944.0,3.0,0.0,0.0,0.0,47.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0
96,96.0,8375.353929,17780.0,109.0,12.0,18.0,0.0,9.0,96.0,3605.0,0.0,0.0,0.0,4.0,37.0,2.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,3.0,1.0
97,97.0,4801.661503,18107.0,62.0,29.0,11.0,0.0,8.0,97.0,4890.0,1.0,0.0,0.0,0.0,38.0,2.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0
98,98.0,5745.94334,57740.0,74.0,30.0,87.0,3.0,9.0,98.0,6054.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,2.0,1.0,1.0,3.0,2.0,3.0,0.0,1.0
99,99.0,6066.115969,32627.0,76.0,11.0,60.0,0.0,7.0,99.0,2111.0,3.0,0.0,1.0,1.0,48.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,5.0,2.0
100,100.0,8002.308333,0.0,107.0,3.0,65.0,0.0,3.0,100.0,7093.0,1.0,1.0,0.0,1.0,2.0,4.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,3.0,1.0
101,101.0,2393.915369,0.0,70.0,24.0,10.0,0.0,1.0,101.0,22.0,1.0,1.0,0.0,1.0,24.0,4.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0
102,102.0,4762.8179,65795.0,62.0,2.0,85.0,1.0,3.0,102.0,8224.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,5.0,1.0
103,103.0,4330.38602,60475.0,107.0,9.0,18.0,0.0,1.0,103.0,1657.0,1.0,1.0,2.0,1.0,38.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0
104,104.0,9402.729769,0.0,130.0,28.0,88.0,0.0,4.0,104.0,7188.0,1.0,0.0,1.0,3.0,58.0,4.0,0.0,1.0,2.0,1.0,5.0,0.0,3.0,3.0,1.0
105,105.0,6966.694527,41837.0,88.0,29.0,93.0,0.0,9.0,105.0,6856.0,3.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,2.0,0.0,2.0
106,106.0,7694.064293,32303.0,65.0,13.0,34.0,0.0,2.0,106.0,4457.0,1.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0
107,107.0,8717.561149,0.0,117.0,5.0,89.0,1.0,3.0,107.0,1091.0,3.0,0.0,0.0,3.0,30.0,4.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0
108,108.0,5928.748528,40531.0,74.0,17.0,32.0,0.0,9.0,108.0,1574.0,1.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,5.0,1.0
109,109.0,2452.977288,79898.0,62.0,5.0,86.0,1.0,1.0,109.0,2404.0,3.0,0.0,0.0,1.0,36.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0
110,110.0,6701.571657,56398.0,85.0,4.0,18.0,0.0,7.0,110.0,7822.0,1.0,0.0,1.0,1.0,50.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,0.0,0.0,2.0
111,111.0,7556.24034,35257.0,98.0,16.0,2.0,1.0,8.0,111.0,8663.0,4.0,0.0,1.0,3.0,34.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0
112,112.0,8492.6988,27804.0,109.0,19.0,54.0,0.0,7.0,112.0,4434.0,0.0,0.0,0.0,1.0,49.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0
113,113.0,7713.494046,45506.0,66.0,16.0,32.0,2.0,2.0,113.0,3683.0,3.0,0.0,0.0,0.0,43.0,1.0,1.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0
114,114.0,24084.5352,65196.0,67.0,0.0,54.0,0.0,2.0,114.0,912.0,4.0,0.0,0.0,3.0,42.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,0.0,1.0
115,115.0,7290.069769,0.0,102.0,11.0,70.0,1.0,3.0,115.0,3259.0,1.0,0.0,0.0,3.0,37.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0
116,116.0,4772.943848,20993.0,133.0,35.0,90.0,0.0,1.0,116.0,7438.0,3.0,1.0,1.0,3.0,40.0,3.0,1.0,1.0,0.0,1.0,5.0,1.0,0.0,3.0,1.0
117,117.0,6806.491395,37839.0,86.0,35.0,77.0,0.0,9.0,117.0,5208.0,0.0,0.0,1.0,3.0,13.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0
118,118.0,2469.781334,92711.0,62.0,24.0,10.0,0.0,1.0,118.0,6443.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,2.0,1.0,4.0,2.0,0.0,5.0,1.0
119,119.0,3103.923041,74665.0,78.0,10.0,90.0,2.0,1.0,119.0,5108.0,1.0,0.0,1.0,1.0,54.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0
120,120.0,2981.875575,0.0,83.0,26.0,89.0,0.0,1.0,120.0,8687.0,4.0,0.0,1.0,1.0,47.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,5.0,1.0
121,121.0,8902.737595,46833.0,112.0,6.0,3.0,0.0,9.0,121.0,989.0,1.0,0.0,0.0,0.0,26.0,1.0,1.0,0.0,1.0,1.0,5.0,0.0,2.0,4.0,1.0
122,122.0,5499.447223,88768.0,68.0,17.0,77.0,0.0,7.0,122.0,1335.0,3.0,0.0,0.0,3.0,20.0,1.0,0.0,1.0,1.0,1.0,5.0,2.0,1.0,5.0,2.0
123,123.0,15023.59858,28262.0,192.0,9.0,77.0,0.0,3.0,123.0,6391.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,3.0,2.0,1.0
124,124.0,2509.107875,33555.0,63.0,17.0,11.0,0.0,1.0,124.0,1525.0,2.0,0.0,0.0,0.0,38.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0
125,125.0,31221.7481,42780.0,113.0,10.0,27.0,1.0,2.0,125.0,1848.0,3.0,0.0,2.0,1.0,22.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,2.0,0.0,1.0
126,126.0,3133.503432,58850.0,78.0,20.0,26.0,0.0,1.0,126.0,8088.0,3.0,0.0,1.0,4.0,56.0,1.0,0.0,0.0,2.0,1.0,5.0,1.0,1.0,0.0,1.0
127,127.0,3837.451863,21880.0,97.0,29.0,37.0,0.0,1.0,127.0,2308.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,7.0,0.0,1.0,0.0,1.0
128,128.0,11790.49617,25251.0,66.0,13.0,43.0,0.0,2.0,128.0,5693.0,3.0,1.0,0.0,1.0,22.0,3.0,1.0,1.0,0.0,1.0,4.0,1.0,3.0,0.0,1.0
129,129.0,7838.068321,0.0,69.0,9.0,12.0,0.0,2.0,129.0,5983.0,4.0,0.0,0.0,4.0,39.0,4.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0
130,130.0,4305.808345,24188.0,109.0,14.0,82.0,0.0,1.0,130.0,7102.0,0.0,0.0,0.0,3.0,13.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,4.0,1.0
