,Total Claim Amount
276,532.8
277,67.881546
278,402.636829
279,641.3886160000001
280,342.481173
281,331.2
282,340.8
283,412.10193300000003
284,73.70057299999999
285,374.4
286,350.4
287,345.6
288,722.024742
289,259.361117
290,537.6
291,396.295614
292,358.281562
293,653.388564
294,121.032372
295,92.813396
296,528.0
297,159.636956
298,476.15695700000003
299,727.2
300,321.6
301,42.078345
302,561.6
303,200.11606
304,676.944023
305,566.4
306,830.623064
307,580.473259
308,60.036683
309,321.6
310,47.531009999999995
311,303.872752
312,100.620067
313,481.339891
314,508.8
315,1101.6
316,86.320022
317,470.4
318,667.2
319,56.60333000000001
320,262.86517200000003
321,309.577946
322,350.4
323,365.364581
324,384.0
325,489.6
326,705.6
327,9.51528
328,244.56433399999997
329,639.105556
330,453.6
331,532.8
332,511.2
333,554.522969
334,336.0
335,402.449823
336,327.020539
337,5.3953
338,131.401291
339,99.38294300000001
340,856.8
341,739.2
342,518.4
343,292.8
344,340.8
345,350.4
346,340.8
347,260.87990299999996
348,64.546877
349,441.6
350,37.910623
351,202.860399
352,345.6
353,94.03030799999999
354,331.2
355,355.2
356,286.234931
357,1159.2
358,316.8
359,466.57079100000004
360,331.2
361,364.8
362,1252.406235
363,331.2
364,312.0
365,421.48445599999997
366,430.505942
367,398.502948
368,7.646763000000001
369,55.510526
370,351.270869
371,806.4
372,647.454583
373,508.8
374,128.43823
375,302.033971
376,480.0
377,1003.160633
378,518.4
379,379.2
380,244.362072
381,201.455005
382,297.6
383,552.0
384,741.4184849999999
385,707.430832
386,305.575785
387,376.126419
388,701.7082389999999
389,152.184244
390,176.819414
391,104.454624
392,941.7180539999999
393,468.0
394,121.306839
395,460.8
396,67.859881
397,539.8430030000001
398,556.8
399,350.4
400,331.2
401,765.709629
402,626.4
403,321.6
404,494.39502400000003
405,115.54508600000001
406,19.938981
407,799.926741
408,523.2
409,878.4
410,444.47067599999997
411,268.81998500000003
412,331.2
413,297.6
414,412.8
415,806.4
416,321.6
417,532.8
418,1317.6
419,691.412378
420,804.811859
421,297.6
422,1090.86434
423,50.587035
424,537.6
425,151.528482
426,347.075948
427,271.69752900000003
428,638.4
429,849.6
430,639.4589900000001
431,345.6
432,528.0
433,595.2
434,624.0
435,1337.063487
436,355.2
437,125.19438899999999
438,235.220971
439,395.34111
440,542.4
441,772.7985110000001
442,633.6
443,350.4
444,168.517149
445,307.2
446,633.6
447,504.0
448,845.654042
449,92.915251
450,668.2939700000001
451,700.9016320000001
452,525.6
453,25.299
454,375.330097
455,418.23366699999997
456,398.240791
457,938.513425
458,338.619869
459,339.344531
460,302.818833
461,619.165344
462,326.4
463,259.561195
464,336.0
465,364.8
466,179.161843
467,662.4
468,75.501852
469,306.983596
470,84.026848
471,139.489926
472,607.4459
473,631.124372
474,628.023494
475,336.0
476,426.655599
477,91.417923
478,317.844812
479,460.8
480,86.46158199999999
481,156.124914
482,321.6
483,362.77454500000005
484,221.85618399999998
485,980.169081
486,614.6759059999999
487,662.4
488,331.2
489,145.25216799999998
490,374.240783
491,355.2
492,528.0
493,619.2
494,80.669257
495,561.6
496,1324.8
497,504.0
498,460.8
499,468.566133
500,842.43785
501,475.2
502,1171.9311699999998
503,268.471802
504,494.4
505,475.2
506,138.722385
507,345.6
508,467.24802
509,467.503236
510,1214.4
511,667.2
512,192.085299
513,619.973889
514,1002.7825529999999
515,321.6
516,384.0
517,251.77457400000003
518,866.2083210000001
519,1210.920949
520,599.648466
521,787.993313
522,2027.7244420000002
523,619.2
524,72.852047
525,449.81967099999997
526,302.4
527,316.8
528,489.6
529,56.60333000000001
530,259.060862
531,456.0
532,364.8
533,470.4
534,299.356083
535,699.1679
536,117.959654
537,545.2403410000001
538,350.4
539,328.231432
540,66.56864200000001
541,1382.4
542,722.178166
543,609.6
544,542.4
545,532.8
546,369.614729
547,655.41333
548,312.0
549,345.6
550,673.34265
551,619.2
552,513.6
553,23.810491
554,451.2
555,350.4
556,307.2
557,408.0
558,231.922173
559,772.8
560,664.980242
561,292.8
562,46.492039
563,432.0
564,78.085149
565,564.466556
566,739.2
567,792.0
568,289.040734
569,155.938593
570,302.4
571,326.549425
572,653.6566799999999
573,103.935601
574,809.532341
575,321.6
576,528.0
577,312.0
578,580.7253099999999
579,59.987126
580,238.00507400000004
581,1577.674417
582,245.44762200000002
583,135.26125
584,571.2
585,331.2
586,566.4
587,297.6
588,312.0
589,637.063458
590,537.6
591,460.8
592,75.93609599999999
593,799.2
594,603.0581139999999
595,67.530904
596,312.921256
597,166.937747
598,566.4
599,135.382194
600,17.742954
601,1.8383669999999999
602,197.77600900000002
603,612.102262
604,331.2
605,316.8
606,1193.036154
607,600.0
608,542.4
609,926.4
610,392.6364
611,215.226476
612,160.59866200000002
613,371.803029
614,312.0
615,443.67039900000003
616,612.300581
617,290.391526
618,316.795337
619,405.527937
620,208.598246
621,345.6
622,301.437365
623,456.47311500000006
624,152.33856200000002
625,491.755368
626,48.517439
627,430.37504900000005
628,633.6
629,350.4
630,246.489123
631,128.969729
632,185.355353
633,1300.8
634,9.071305
635,133.475315
636,902.4
637,321.6
638,623.223617
639,427.2
640,326.4
641,321.6
642,494.4
643,211.336937
644,227.872071
645,862.762957
646,513.6
647,113.36776499999999
648,537.6
649,943.2
650,117.672722
651,225.14594900000003
652,456.0
653,182.43256499999998
654,644.755653
655,525.6
656,333.886816
657,311.10358199999996
658,212.391975
659,297.6
660,174.041566
661,257.900458
662,486.27855700000003
663,345.6
664,1.924709
665,518.4
666,326.4
667,262.12205
668,921.6
669,541.695658
670,326.4
671,327.682669
672,456.0
673,1265.5703019999999
674,63.043197
675,336.0
676,15.631363
677,441.6
678,375.86609100000004
679,364.8
680,355.2
681,452.616872
682,113.450122
683,480.0
684,16.03451
685,615.27228
686,615.256301
687,512.66245
688,74.523935
689,426.072946
690,169.287785
691,419.464143
692,201.455005
693,662.69318
694,494.4
695,494.4
696,326.4
697,669.6
698,395.729716
699,141.199465
700,58.557552
701,302.4
702,316.8
703,8.582971
704,285.418473
705,566.4
706,410.50831600000004
707,244.23135
708,218.598065
709,643.826716
710,336.0
711,312.0
712,497.04729699999996
713,1022.4
714,657.6
715,230.24577200000002
716,5.622751
717,292.8
718,614.4
719,333.5671
720,667.2
721,34.651305
722,678.100487
723,511.2
724,525.6
725,292.8
726,292.8
727,174.588413
728,159.391681
729,698.4
730,232.711071
731,190.43446
732,79.865605
733,393.6
734,382.08589700000005
735,48.348319000000004
736,133.425609
737,528.0
738,561.414794
739,316.8
740,445.287788
741,23.820158
742,407.99683999999996
743,844.229478
744,345.6
745,340.306584
746,106.647493
747,626.116259
748,56.60333000000001
749,784.6578099999999
750,441.6
751,547.2
752,86.27772
753,398.502948
754,63.516572
755,1300.8
756,120.01560900000001
757,1254.137899
758,316.8
759,417.6
760,798.0026889999999
761,82.041684
762,22.819088
763,302.4
764,422.4
765,316.8
766,639.9713879999999
767,489.6
768,312.0
769,468.0
770,511.497882
771,494.4
772,239.540223
773,518.1803639999999
774,715.252366
775,926.4
776,156.124914
777,402.070719
778,94.814032
779,456.0
780,523.2
781,571.2
782,513.6
783,504.0
784,972.0
785,73.883044
786,340.8
787,574.024018
788,632.715382
789,355.2
790,4.238626
791,42.248087
792,739.2
793,27.145151000000002
794,270.002766
795,292.8
796,494.946438
797,142.56700800000002
798,425.266308
799,312.0
800,326.4
801,251.33424700000003
802,369.818708
803,161.419528
804,537.6
805,292.8
806,312.0
807,255.999709
808,484.8
809,61.769564
810,1310.4
811,250.00142400000001
812,141.799422
813,321.6
814,49.797016
815,372.175592
816,542.14385
817,1360.8
818,504.0
819,768.0
820,72.63293399999999
821,720.601429
822,576.0
823,481.02578600000004
824,466.17673099999996
825,159.266473
826,547.2
827,41.283167
828,503.808329
829,859.5994109999999
830,305.653785
831,278.902846
832,1416.0
833,139.963594
834,734.4
835,174.041566
836,532.8
837,321.6
838,37.299865000000004
839,95.81651600000001
840,1008.0
841,513.6
842,446.4
843,72.205362
844,292.8
845,331.2
846,475.2
847,331.2
848,331.2
849,401.592109
850,253.183568
851,643.2
852,799.673766
853,727.2
854,91.83466800000001
855,27.987866999999998
856,842.391832
857,270.56399500000003
858,292.8
859,158.077504
860,667.2
861,148.17315200000002
862,404.265696
863,18.918935
864,513.818403
865,268.471802
866,131.828507
867,628.8
868,374.4
869,960.115399
870,392.235698
871,873.6
872,0.38210700000000003
873,51.961915000000005
874,350.4
875,379.2
876,297.6
877,571.2
878,350.853987
879,217.97316800000002
880,441.6
881,25.934064000000003
882,475.2
883,297.6
884,84.218363
885,628.8
886,321.6
887,153.205591
888,2893.239678
889,629.532731
890,361.28475699999996
891,1185.9883009999999
892,460.8
893,86.46158199999999
894,340.8
895,425.800112
896,312.0
897,159.756733
898,24.087774
899,302.4
900,219.28870600000002
901,881.360959
902,26.951627000000002
903,466.122541
904,475.2
905,607.095655
906,331.2
907,290.381707
908,558.099357
909,336.0
910,828.0
911,540.5141150000001
912,100.049832
913,59.861963
914,344.118069
915,871.505797
916,53.084753000000006
917,256.43802999999997
918,135.89244399999998
919,74.350893
920,621.464468
921,307.2
922,360.05589
923,65.954813
924,407.45011800000003
925,547.2
926,1228.8
927,547.2
928,806.4
929,24.063693
930,311.329282
931,42.689135
932,460.323855
933,249.085887
934,331.2
935,300.607591
936,262.504882
937,263.365432
938,307.2
939,302.4
940,256.268091
941,297.6
942,297.6
943,542.4
944,1353.6
945,432.0
946,499.2
947,45.507952
948,470.4
949,691.2
950,408.0
951,82.409922
952,357.64298199999996
953,643.2
954,420.35697999999996
955,136.787725
956,331.2
957,158.077504
958,170.798204
959,266.16553500000003
960,98.921782
961,281.29590299999995
962,631.743039
963,468.0
964,29.209521000000002
965,136.883999
966,312.0
967,518.4
968,31.755601000000002
969,113.534474
970,830.4
971,480.159011
972,390.792553
973,72.07119499999999
974,316.8
975,552.0
976,41.965252
977,1027.0000289999998
978,319.82074700000004
979,411.011162
980,600.0
981,648.0
982,4.1105849999999995
983,351.149904
984,284.000172
985,496.474767
986,925.1371429999999
987,13.164097
988,312.0
989,463.33506100000005
990,180.667969
991,484.8
992,508.8
993,350.4
994,302.76428300000003
995,340.8
996,513.6
997,141.92283899999998
998,349.783046
999,494.4
1000,345.6
1001,54.065538000000004
1002,600.0
1003,342.515136
1004,441.6
1005,1027.177255
1006,275.989978
1007,472.599683
1008,1336.931716
1009,547.2
1010,7.3459460000000005
1011,540.141566
1012,383.363758
1013,537.765151
1014,321.87347400000004
1015,19.575682999999998
1016,571.2
1017,108.13871499999999
1018,408.0
1019,707.303416
1020,1067.333126
1021,807.947292
1022,618.630955
1023,404.272806
1024,710.4
1025,312.0
1026,707.977614
1027,336.0
1028,367.92773
1029,68.226001
1030,287.149807
1031,312.0
1032,595.2
1033,391.636628
1034,547.2
1035,640.8
1036,232.674417
1037,331.2
1038,336.50961
1039,470.4
1040,345.6
1041,485.28681500000005
1042,523.2
1043,328.87086800000003
1044,496.8
1045,85.06370799999999
1046,1418.4
1047,334.40871699999997
1048,42.096415
1049,300.528579
1050,144.782152
1051,64.59821600000001
1052,532.8
1053,347.857619
1054,128.645946
1055,525.6
1056,61.769564
1057,316.8
1058,955.2
1059,720.7529450000001
1060,340.65696299999996
1061,546.524896
1062,489.411833
1063,171.32585600000002
1064,801.577478
1065,30.874869
1066,361.455219
1067,207.320041
1068,633.6
1069,547.2
1070,537.6
1071,1027.2
1072,451.2
1073,469.030907
1074,565.929394
1075,302.4
1076,145.673348
1077,136.68414099999998
1078,825.657746
1079,277.68566699999997
1080,468.0
1081,292.8
1082,350.4
1083,264.56377200000003
1084,133.73539499999998
1085,292.8
1086,641.2305809999999
1087,326.4
1088,20.382876
1089,415.76894100000004
1090,527.421579
1091,57.614392
1092,272.217171
1093,91.83466800000001
1094,345.6
1095,504.0
1096,460.8
1097,302.586407
1098,523.2
1099,350.4
1100,523.2
1101,542.4
1102,566.4
1103,468.0
1104,302.4
1105,294.92773
1106,518.4
1107,542.4
1108,71.729298
1109,1300.8
1110,460.8
1111,447.911255
1112,566.4
1113,307.2
1114,537.391704
1115,496.8
1116,518.4
1117,633.6
1118,492.770321
1119,1149.203884
1120,572.635987
1121,321.6
1122,811.086484
1123,336.0
1124,482.4
1125,701.7082389999999
1126,95.338505
1127,525.6
1128,547.2
1129,409.763267
1130,46.386546
1131,157.440069
1132,451.2
1133,1027.2
1134,1261.943541
1135,340.8
1136,302.791402
1137,596.050118
1138,340.8
1139,8.44322
1140,588.742251
1141,499.22560999999996
1142,76.11261800000001
1143,451.2
1144,541.561209
1145,964.8
1146,616.749885
1147,292.8
1148,125.274351
1149,316.8
1150,137.169296
1151,694.598288
1152,511.2
1153,421.456547
1154,408.0
1155,556.8
1156,475.2
1157,833.072722
1158,419.26062
1159,528.0
1160,801.6
1161,253.740993
1162,41.05291
1163,561.6
1164,756.0
1165,489.6
1166,7.069583000000001
1167,315.004602
1168,422.947888
1169,756.0
1170,277.27294
1171,456.0
1172,604.8
1173,780.090361
1174,868.8
1175,331.2
1176,66.020788
1177,457.471225
1178,348.278032
1179,240.24149900000003
1180,326.4
1181,350.4
1182,419.062661
1183,252.149798
1184,285.745227
1185,67.530904
1186,417.6
1187,667.2
1188,469.491537
1189,542.4
1190,336.0
1191,320.519977
1192,590.4
1193,821.5167299999999
1194,355.2
1195,316.8
1196,326.4
1197,297.6
1198,92.286763
1199,188.325603
1200,1294.700423
1201,193.57032
1202,475.2
1203,496.8
1204,508.8
1205,316.8
1206,57.712984999999996
1207,294.31942799999996
1208,345.6
1209,147.08030300000001
1210,489.6
1211,666.724937
1212,42.238585
1213,700.331425
1214,527.139074
1215,470.4
1216,48.828732
1217,191.640085
1218,202.847644
1219,418.864555
1220,203.352239
1221,4.61262
1222,525.6
1223,470.4
1224,336.0
1225,393.6
1226,550.825934
1227,247.91187200000002
1228,261.930545
1229,295.223164
1230,667.2
1231,537.6
1232,76.025368
1233,345.211703
1234,561.6
1235,528.0
1236,136.82953700000002
1237,5.674809
1238,9.747442999999999
1239,779.052276
1240,1253.984948
1241,231.20188599999997
1242,628.498605
1243,369.6
1244,623.505066
1245,451.670309
1246,403.2
1247,936.0
1248,114.273025
1249,408.0
1250,628.8
1251,667.2
1252,365.312072
1253,355.2
1254,460.8
1255,791.8780419999999
1256,634.385937
1257,277.79598799999997
1258,741.6
1259,134.222332
1260,15.616535
1261,336.0
1262,621.9593570000001
1263,513.6
1264,779.629297
1265,425.964628
1266,513.252488
1267,674.973614
1268,465.763576
1269,351.286604
1270,418.927204
1271,417.6
1272,451.670309
1273,446.4
1274,293.86579
1275,1027.0000289999998
1276,192.213037
1277,446.4
1278,316.8
1279,547.2
1280,820.8
1281,518.4
1282,161.423101
1283,1032.0
1284,973.7871759999999
1285,81.452537
1286,57.712984999999996
1287,371.80262799999997
1288,103.022126
1289,101.353875
1290,294.058449
1291,204.74051
1292,1358.4
1293,355.2
1294,1207.084251
1295,35.45384
1296,384.0
1297,513.6
1298,441.75758499999995
1299,660.4304559999999
1300,632.9443660000001
1301,312.0
1302,239.32857099999998
1303,372.652536
1304,499.2
1305,647.039443
1306,68.647736
1307,523.8888450000001
1308,234.234301
1309,272.843439
1310,57.712984999999996
1311,430.818992
1312,1605.6
1313,604.8
1314,871.2
1315,921.6
1316,9.163065
1317,223.95008900000002
1318,735.6837690000001
1319,314.88032599999997
1320,323.48523900000004
1321,80.663097
1322,590.4
1323,408.0
1324,316.8
1325,513.6
1326,81.16632299999999
1327,554.4
1328,1.687291
1329,392.951076
1330,278.284943
1331,436.8
1332,331.2
1333,750.082794
1334,417.6
1335,652.8
1336,312.0
1337,482.4
1338,345.6
1339,229.930796
1340,371.108203
1341,117.998498
1342,434.09775999999994
1343,211.136067
1344,290.432527
1345,283.966321
1346,227.91607599999998
1347,134.43008400000002
1348,525.515271
1349,144.439335
1350,694.598288
1351,172.51852399999999
1352,350.4
1353,300.703109
1354,388.8
1355,777.6
1356,262.047663
1357,638.4
1358,292.8
1359,355.2
1360,412.8
1361,496.8
1362,513.6
1363,989.105367
1364,1294.700423
1365,972.0
1366,321.6
1367,253.36433300000002
1368,340.8
1369,266.949266
1370,479.097472
1371,494.847804
1372,316.8
1373,312.0
1374,379.2
1375,378.69523799999996
1376,292.8
1377,904.385726
1378,93.623377
1379,308.63115899999997
1380,396.17554
1381,537.6
1382,251.42998799999998
1383,1965.6
1384,1448.994134
1385,340.8
1386,208.659743
1387,396.284835
1388,316.8
1389,369.818708
1390,458.568921
1391,379.2
1392,513.6
1393,414.519064
1394,350.4
1395,87.861666
1396,192.144838
1397,160.07526000000001
1398,561.6
1399,416.365369
1400,257.248789
1401,331.2
1402,826.658992
1403,486.27855700000003
1404,419.36595800000003
1405,321.6
1406,386.031248
1407,456.0
1408,731.5590070000001
1409,329.206567
1410,126.779673
1411,225.578841
1412,294.284951
1413,72.665253
1414,8.737111
1415,394.582401
1416,97.176153
1417,151.13336
1418,281.110788
1419,404.817249
1420,523.815839
1421,316.8
1422,424.330166
1423,446.4
1424,475.2
1425,389.673944
1426,199.37361
1427,302.4
1428,614.4
1429,580.8867849999999
1430,355.2
1431,432.0
1432,302.4
1433,73.99509599999999
1434,535.926948
1435,88.173438
1436,441.6
1437,441.6
1438,293.205349
1439,222.582872
1440,340.8
1441,326.4
1442,117.74441599999999
1443,524.836298
1444,42.689135
1445,523.2
1446,174.086385
1447,350.4
1448,1186.9724449999999
1449,364.8
1450,84.494022
1451,331.2
1452,806.4
1453,46.104534
1454,597.6
1455,358.765757
1456,331.2
1457,837.438442
1458,888.0
1459,114.273025
1460,364.8
1461,734.4
1462,657.808231
1463,403.2
1464,447.333545
1465,174.292234
1466,979.2
1467,159.004261
1468,289.040734
1469,628.8
1470,450.996589
1471,48.884434000000006
1472,19.575682999999998
1473,3.7721050000000003
1474,370.285349
1475,8.076879
1476,1178.995926
1477,466.318191
1478,340.8
1479,368.919773
1480,166.507217
1481,566.4
1482,263.957201
1483,215.23091000000002
1484,398.190882
1485,205.332749
1486,905.0304480000001
1487,544.362598
1488,79.61563100000001
1489,871.2
1490,12.394834
1491,123.43663400000001
1492,304.39047200000005
1493,614.367195
1494,245.673365
1495,403.2
1496,451.2
1497,379.2
1498,383.043363
1499,482.4
1500,154.748539
1501,307.2
1502,561.6
1503,717.2859490000001
1504,1353.6
1505,251.756739
1506,459.966453
1507,383.655742
1508,618.2065299999999
1509,573.990258
1510,199.590599
1511,820.8
1512,525.6
1513,355.641958
1514,388.8
1515,518.4
1516,1377.6
1517,511.2
1518,475.2
1519,24.555177
1520,199.791024
1521,820.8
1522,523.815839
1523,407.045238
1524,406.99944300000004
1525,355.2
1526,503.204804
1527,126.509441
1528,724.463534
1529,297.6
1530,379.2
1531,345.6
1532,408.550442
1533,156.124914
1534,1777.4712710000001
1535,137.665031
1536,345.619809
1537,572.072106
1538,226.9684
1539,109.906628
1540,940.8
1541,1382.4
1542,297.6
1543,323.63741400000004
1544,321.6
1545,85.146928
1546,345.951322
1547,709.082334
1548,446.4
1549,315.95018500000003
1550,499.2
1551,645.952371
1552,1767.348807
1553,23.387192000000002
1554,171.38289
1555,1171.2
1556,302.4
1557,209.25613
1558,734.4
1559,544.3400790000001
1560,508.8
1561,326.4
1562,192.7604
1563,532.8
1564,489.6
1565,371.458196
1566,554.4
1567,231.53700099999998
1568,757.593913
1569,185.355353
1570,292.8
1571,529.147483
1572,341.680131
1573,806.4
1574,727.2
1575,346.845129
1576,373.881547
1577,600.0
1578,419.10555899999997
1579,479.934846
1580,345.6
1581,372.362565
1582,619.6986440000001
1583,297.6
1584,239.90520800000002
1585,167.138119
1586,578.499499
1587,406.430632
1588,655.2
1589,339.39959300000004
1590,422.4
1591,806.4
1592,964.8
1593,508.703134
1594,345.6
1595,528.0
1596,678.2098269999999
1597,489.6
1598,409.985435
1599,446.4
1600,921.6
1601,581.077056
1602,11.451889
1603,441.6
1604,1227.458548
1605,101.82680400000001
1606,50.528355
1607,165.309001
1608,552.0
1609,697.272246
1610,6.281344
1611,220.018279
1612,316.8
1613,556.8
1614,336.0
1615,328.31422200000003
1616,436.8
1617,244.21228599999998
1618,680.047456
1619,657.6
1620,316.8
1621,1072.8
1622,1051.2
1623,231.20188599999997
1624,504.0
1625,81.710575
1626,2201.327879
1627,50.422181
1628,412.8
1629,316.8
1630,469.229028
1631,189.835063
1632,295.224598
1633,1012.249308
1634,326.4
1635,261.930545
1636,1052.933035
1637,395.32840699999997
1638,552.0
1639,499.2
1640,813.6
1641,345.6
1642,139.354893
1643,412.8
1644,49.451116999999996
1645,528.0
1646,292.8
1647,257.090387
1648,328.942798
1649,940.8
1650,14.518312
1651,571.2
1652,401.785805
1653,44.780402
1654,345.6
1655,329.206567
1656,441.6
1657,448.25501900000006
1658,240.22141499999998
1659,460.8
1660,350.4
1661,513.6
1662,73.719521
1663,511.2
1664,307.2
1665,676.8
1666,472.27190700000006
1667,604.8
1668,287.5426
1669,783.431945
1670,1272.546918
1671,763.2
1672,43.599861
1673,321.6
1674,380.822087
1675,425.800112
1676,316.35677999999996
1677,900.0
1678,451.2
1679,400.181882
1680,350.4
1681,345.6
1682,45.049184999999994
1683,432.0
1684,112.63353899999998
1685,141.725051
1686,155.57080200000001
1687,1128.0
1688,392.235698
1689,345.6
1690,594.4445860000001
1691,450.08010099999996
1692,281.163705
1693,135.340489
1694,593.654484
1695,518.720216
1696,19.251693
1697,182.948495
1698,167.73826699999998
1699,45.721455999999996
1700,316.8
1701,281.110788
1702,445.879224
1703,334.89243700000003
1704,204.448708
1705,305.552429
1706,571.136574
1707,655.2
1708,456.0
1709,556.8
1710,331.2
1711,571.2
1712,81.255741
1713,532.8
1714,940.8
1715,355.2
1716,946.3452689999999
1717,316.8
1718,336.0
1719,82.427785
1720,343.121192
1721,487.736171
1722,42.689135
1723,321.6
1724,409.868003
1725,240.176533
1726,182.436205
1727,124.93358700000002
1728,345.6
1729,528.0
1730,292.8
1731,122.912377
1732,196.37368
1733,345.6
1734,237.896227
1735,547.2
1736,312.0
1737,374.4
1738,333.69622799999996
1739,427.2
1740,445.29049000000003
1741,561.6
1742,357.926979
1743,67.490616
1744,166.937747
1745,33.718553
1746,315.82638199999997
1747,295.04969
1748,34.689611
1749,214.586742
1750,204.872273
1751,655.2
1752,95.925021
1753,664.280864
1754,389.75079300000004
1755,109.906628
1756,271.10697000000005
1757,499.2
1758,178.006524
1759,182.96418400000002
1760,200.812425
1761,321.6
1762,329.013275
1763,853.4735519999999
1764,42.693918
1765,297.6
1766,489.6
1767,444.620265
1768,108.995934
1769,145.587985
1770,479.02881799999994
1771,460.8
1772,323.246017
1773,441.6
1774,433.160284
1775,321.6
1776,453.57834299999996
1777,496.8
1778,496.8
1779,209.176923
1780,425.662574
1781,120.477298
1782,340.8
1783,316.8
1784,667.2
1785,468.17605599999996
1786,340.8
1787,355.2
1788,220.304649
1789,331.2
1790,445.817914
1791,357.757645
1792,236.73932200000002
1793,600.0
1794,233.265397
1795,297.6
1796,1286.4
1797,41.628869
1798,1129.929433
1799,375.11129
1800,321.6
1801,244.801119
1802,393.6
1803,2.96438
1804,342.471939
1805,523.815839
1806,416.63749900000005
1807,618.2102719999999
1808,508.8
1809,362.743231
1810,620.0115940000001
1811,225.51766600000002
1812,1171.537594
1813,340.8
1814,350.4
1815,624.0
1816,340.8
1817,255.45432200000002
1818,203.99349899999999
1819,1012.8
1820,219.209762
1821,878.812468
1822,151.84373100000002
1823,1588.682955
1824,187.363583
1825,355.2
1826,697.186307
1827,489.6
1828,423.286512
1829,293.865315
1830,468.0
1831,316.492058
1832,312.0
1833,456.0
1834,619.2
1835,302.4
1836,245.07609100000002
1837,91.198362
1838,615.243841
1839,321.6
1840,292.8
1841,292.8
1842,720.0
1843,460.806124
1844,149.269407
1845,324.317667
1846,839.348464
1847,475.2
1848,499.2
1849,203.568733
1850,657.290491
