,Customer,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Location Code,Marital Status,Policy Type,Policy,Renew Offer Type,Sales Channel,Vehicle Class,Vehicle Size,Customer Lifetime Value,Income,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies
13,SJ95423,Arizona,Yes,Basic,High School or Below,1/10/11,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Branch,SUV,Medsize,0.08798449135798508,0.9961211791676624,0.0010974343202808641,0.00022946353969508976,0.00024941689097292367,9.976675638916946e-06,7.981340511133557e-05
14,IL66569,California,No,Basic,College,1/18/11,Employed,M,Urban,Single,Corporate Auto,Corporate L3,Offer4,Call Center,Four-Door Car,Medsize,0.06420580647948432,0.9979362860874126,0.0008347039637959455,0.00025041118913878365,0.00011924342339942079,2.3848684679884155e-05,9.539473871953662e-05
15,BW63560,Oregon,No,Basic,Bachelor,1/17/11,Employed,F,Rural,Married,Corporate Auto,Corporate L2,Offer2,Branch,Four-Door Car,Medsize,0.2903228903827855,0.956923409810003,0.0024896580441416396,0.00046681088327655743,0.001945045346985656,3.890090693971312e-05,7.780181387942624e-05
16,FV94802,Nevada,No,Basic,High School or Below,2/6/11,Medical Leave,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,Two-Door Car,Medsize,0.10193965060480933,0.9947868312967937,0.0026608135133891642,0.0005559908833947507,0.00027799544169737535,0.0,3.971363452819648e-05
17,OE15005,California,No,Basic,College,1/5/11,Medical Leave,M,Suburban,Married,Personal Auto,Personal L2,Offer3,Call Center,SUV,Medsize,0.13546499515189456,0.99077390625325,0.0034679661941285135,0.00041203558742120954,0.0020258416381542803,0.0,3.433629895176746e-05
18,WC83389,Oregon,No,Basic,College,2/27/11,Employed,M,Urban,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize,0.1109538832065268,0.9938245464769936,0.0013989866142633835,0.00017487332678292294,1.9430369642546995e-05,0.0,0.00013601258749782895
19,FL50705,California,No,Premium,High School or Below,1/14/11,Employed,F,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Call Center,Four-Door Car,Small,0.12248481606167909,0.9924691654304727,0.0015155637391665823,0.00016506139733497431,0.00031511721309404183,0.0,4.5016744727720265e-05
20,ZK25313,Oregon,No,Basic,High School or Below,2/19/11,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Branch,Two-Door Car,Medsize,0.04967190812927477,0.9987645588099808,0.0012798243666892687,0.0005361426400995585,0.0003631934013577654,0.0,1.7294923874179305e-05
21,SV62436,Washington,No,Extended,Bachelor,1/21/11,Disabled,F,Suburban,Divorced,Personal Auto,Personal L3,Offer4,Call Center,Four-Door Car,Medsize,0.2154117318666698,0.9765009571310036,0.005594573617619065,0.0005665391005183863,0.003470051990675116,0.0,7.081738756479828e-05
22,YH23384,Arizona,Yes,Basic,Bachelor,1/26/11,Medical Leave,M,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,0.8638130514783527,0.5038058329749842,0.0025419424489215377,0.00046542608219690126,0.00010740601896851568,0.0,7.160401264567711e-05
23,TZ98966,Nevada,No,Basic,Bachelor,2/24/11,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Branch,Four-Door Car,Medsize,0.9993933169452694,0.0,0.02977552046191776,0.0016315353677763156,0.017946889045539472,0.0012236515258322368,0.0004078838419440789
24,HM55802,California,No,Basic,Bachelor,2/5/11,Disabled,F,Suburban,Married,Corporate Auto,Corporate L2,Offer2,Branch,Four-Door Car,Medsize,0.13267557947694214,0.9911394946542134,0.003383296540229827,0.0016639163312605707,0.005047212871490398,0.0,5.5463877708685694e-05
25,FS42516,Oregon,No,Basic,College,1/29/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Large,0.059378382201197115,0.998235249348791,0.0007368484837464549,0.00022514814781141677,1.0234006718700763e-05,0.0,3.070202015610229e-05
26,US89481,California,No,Premium,Bachelor,2/28/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small,0.9995265936182484,0.0,0.028113783875912846,0.0037991599832314657,0.01190403461412526,0.0,0.00025327733221543105
27,HO30839,Washington,No,Extended,Master,2/12/11,Disabled,F,Urban,Married,Corporate Auto,Corporate L1,Offer1,Branch,SUV,Medsize,0.45336440836904973,0.8912264159415758,0.011785793151544004,0.00279806600000685,0.005426552242437527,0.0,8.478987878808636e-05
28,GE62437,Arizona,No,Premium,College,2/2/11,Employed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Large,0.14739016463907675,0.9890773518308762,0.0012679893057981528,0.00037696979361566705,0.0006168596622801824,2.2846654158525276e-05,2.2846654158525276e-05
29,EJ77678,Oregon,No,Extended,Master,2/7/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Small,0.04270585781892436,0.9990869364589099,0.0010559777370420503,0.00022439526912143568,0.0005807877553731277,1.3199721713025629e-05,1.3199721713025629e-05
30,SV85652,Arizona,No,Basic,College,2/28/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer4,Call Center,Four-Door Car,Small,0.10540208924544567,0.9944259557554237,0.0027052783147332106,0.00017176370252274353,0.0002576455537841153,4.294092563068588e-05,4.294092563068588e-05
31,UL64533,Nevada,No,Extended,High School or Below,1/22/11,Employed,M,Urban,Married,Corporate Auto,Corporate L2,Offer2,Agent,Luxury SUV,Medsize,0.2763157741466188,0.9610606813446811,0.003451133827462377,1.4561746107436191e-05,0.00020386444550410667,0.0,8.737047664461715e-05
32,PF41800,California,No,Basic,Bachelor,1/25/11,Unemployed,M,Urban,Married,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize,0.9998261919645521,0.0,0.013782454627485912,0.004028717506495882,0.011874114755987862,0.0,0.0006361132904993497
33,AO98601,Washington,No,Basic,Bachelor,1/18/11,Employed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Agent,Two-Door Car,Small,0.09170154262709791,0.9957856856968773,0.0011510917100716195,0.0005115963155873865,0.00031061204874948463,0.0,0.00010962778191158282
34,SK67821,Oregon,No,Basic,Bachelor,2/13/11,Employed,F,Rural,Married,Corporate Auto,Corporate L1,Offer3,Web,Four-Door Car,Medsize,0.13124624265147725,0.9913476449181589,0.0016495854531649449,0.000505518122744096,0.0011174611134343174,0.0,0.00021284973589225095
35,YV55495,Arizona,No,Basic,High School or Below,1/15/11,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Medsize,0.08297818283736584,0.99655065231054,0.001025629412991554,0.00015890033159024077,0.0005778193876008756,0.0,8.667290814013133e-05
36,KY38074,California,No,Premium,Bachelor,1/8/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small,0.31198003681141795,0.9500839758857172,0.0026275812593931904,0.0002245795948199308,0.001392393487883571,0.0,4.491591896398616e-05
37,DM79012,Oregon,No,Extended,Master,2/6/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Small,0.11163105159717154,0.9937478679955782,0.0013762982982923572,0.0002873589853577449,0.001300677512671898,0.0,0.00012099325699273471
38,CM61827,Oregon,No,Extended,Bachelor,1/25/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer3,Agent,Two-Door Car,Small,0.9992472619809134,0.0,0.029103967966523845,0.0022636419529518544,0.02554681632617093,0.0,0.0003233774218502649
39,WC35801,Arizona,No,Basic,High School or Below,2/7/11,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize,0.04730777248790383,0.9988795497520481,0.0012382106621271374,7.504307043194772e-05,0.00028141151411980393,3.752153521597386e-05,1.876076760798693e-05
40,QG25316,Nevada,No,Basic,High School or Below,1/18/11,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer3,Call Center,Two-Door Car,Medsize,0.9996481527911789,0.0,0.026385271674725524,0.0026385271674725526,0.0003769324524960789,0.0003769324524960789,0.0003769324524960789
41,MB98372,Oregon,Yes,Basic,College,1/11/11,Employed,F,Rural,Single,Corporate Auto,Corporate L3,Offer2,Agent,Two-Door Car,Medsize,0.05525769153334491,0.9984709168611534,0.0014158182400419782,5.9823305917266684e-05,0.0006381152631175113,0.0,1.9941101972422227e-05
42,IL19217,California,Yes,Extended,Bachelor,1/28/11,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Small,0.06548616898993628,0.9978519910200006,0.0016458797272784534,0.0001995005730034489,0.00046550133700804745,0.0,1.6625047750287408e-05
43,SR38658,Arizona,No,Basic,High School or Below,2/8/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer4,Agent,Sports Car,Medsize,0.27217774758348895,0.9622441378118917,0.0022919051474106196,0.0003337725942831,0.00035602410056864,0.0,4.450301257108e-05
44,DH41343,Washington,No,Basic,College,2/23/11,Employed,M,Suburban,Married,Special Auto,Special L2,Offer2,Call Center,Four-Door Car,Large,0.026313828955800898,0.9996533204593794,0.0006568590446175124,0.00016152271588955222,0.0006030181393209949,0.0,1.0768181059303481e-05
45,HG65722,Oregon,No,Premium,Doctor,1/25/11,Disabled,F,Rural,Married,Personal Auto,Personal L2,Offer1,Branch,SUV,Medsize,0.7852960588023369,0.6190305782152603,0.010536690693025708,0.0003062991480530729,0.0002450393184424583,0.00018377948883184373,0.00018377948883184373
46,BU27331,Arizona,No,Basic,Bachelor,1/31/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Call Center,Four-Door Car,Medsize,0.9997831940409324,0.0,0.016332997870096122,0.0015661778779544225,0.012753162720486013,0.0006712190905518954,0.001118698484253159
47,XM45289,Oregon,No,Basic,High School or Below,1/2/11,Employed,F,Suburban,Single,Personal Auto,Personal L2,Offer4,Agent,Two-Door Car,Medsize,0.23107411233326916,0.9729314534314648,0.0029751973982958912,0.0002933293209587498,0.00041904188708392833,0.0,0.00016761675483357134
48,KP34198,California,No,Extended,Bachelor,2/7/11,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L2,Offer2,Call Center,Four-Door Car,Medsize,0.9993515681841949,0.0,0.02749514718987042,0.0032874632509627675,0.02301224275673937,0.0,0.00029886029554206973
49,SH90947,Arizona,No,Basic,High School or Below,1/18/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer4,Branch,Four-Door Car,Medsize,0.9993261807733064,0.0,0.02700317814160731,0.004790886444478716,0.024389967353709827,0.0,0.0004355351313162469
50,WE95729,Oregon,No,Basic,College,1/17/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,SUV,Small,0.8285688762119405,0.5598818666066927,0.0023475130675333026,2.2572241033974064e-05,0.0006320227489512738,0.0,4.514448206794813e-05
51,PY51963,California,Yes,Basic,Bachelor,1/11/11,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L1,Offer1,Web,SUV,Medsize,0.7101026012932661,0.7040916346028401,0.0022486807251551988,0.0003818514438942791,0.002015327064997584,0.0,4.2427938210475454e-05
52,RB69909,Nevada,No,Basic,High School or Below,2/21/11,Employed,F,Rural,Married,Special Auto,Special L1,Offer4,Branch,Four-Door Car,Medsize,0.21642153858421384,0.976297609182928,0.001870509663842451,0.00010843534283144643,0.0010843534283144643,8.132650712358482e-05,5.4217671415723217e-05
53,XR95069,Washington,No,Basic,Bachelor,2/16/11,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer4,Agent,Four-Door Car,Medsize,0.16061212670964709,0.9870140513877151,0.0021173459572572826,0.0006285870810607558,0.0014556753456143818,0.0,9.925059174643512e-05
54,FR46645,California,No,Premium,Bachelor,1/17/11,Disabled,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Small,0.2490055686073872,0.9684780153240644,0.006552782212539326,0.001159784462396341,0.0015077198011152432,0.0,5.798922311981704e-05
55,SY17488,Arizona,No,Extended,College,2/5/11,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer3,Call Center,Four-Door Car,Small,0.15188338706349366,0.9883958964242331,0.0019291771566524079,2.1199748974202284e-05,0.0011235866956327211,0.0,6.359924692260684e-05
56,AP67935,California,No,Basic,College,2/13/11,Employed,M,Urban,Married,Special Auto,Special L2,Offer2,Branch,Four-Door Car,Medsize,0.11687118747394044,0.9931461153673531,0.000981657653145386,0.0003681216199295198,0.0009049656489934027,0.0,3.067680166079331e-05
57,FS37417,Arizona,No,Basic,High School or Below,2/23/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Call Center,SUV,Small,0.9996431391375781,0.0,0.02550881380533452,0.00732431287479902,0.0030307501550892496,0.0,0.00025256251292410414
58,ML29312,Oregon,No,Extended,High School or Below,1/28/11,Disabled,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Call Center,SUV,Medsize,0.2562945872572636,0.9665672571539855,0.007063135122110566,0.0019366660818690264,0.00267715605434836,0.00011392153422758979,5.6960767113794894e-05
59,UB61619,Oregon,No,Premium,Master,2/28/11,Disabled,F,Suburban,Divorced,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize,0.3297639684111814,0.9439890229906006,0.00877298119636734,0.00032492522949508667,0.007960668122629624,0.0,8.123130737377167e-05
60,CD86811,Arizona,Yes,Basic,Bachelor,1/2/11,Retired,M,Suburban,Divorced,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize,0.24525682707731158,0.9694495067822455,0.003575883437796275,5.5013591350711925e-05,0.0019804892886256292,5.5013591350711925e-05,0.00016504077405213576
61,RU83859,California,No,Premium,Bachelor,1/22/11,Medical Leave,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Call Center,Two-Door Car,Small,0.57668479752235,0.8169247212391579,0.007466019299339505,0.00028441978283198115,0.0035552472853997647,0.0,0.0004266296742479718
62,FG63582,Oregon,No,Extended,Bachelor,1/15/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Small,0.9994604527494713,0.0,0.02813050802407499,0.005985214473207445,0.015860818353999728,0.0,0.00029926072366037227
63,NN71951,California,No,Basic,High School or Below,1/27/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize,0.34261677463936946,0.9394734033404095,0.0014122110534993003,0.0,0.0012145015060093982,0.0,2.8244221069986006e-05
64,WB37082,Arizona,No,Basic,Bachelor,1/23/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer3,Branch,Four-Door Car,Large,0.9999405923112661,0.0,0.009524721539680703,0.0031749071798935677,0.004233209573191423,0.0,0.00030237211237081596
65,SM52139,Washington,No,Basic,College,1/31/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer3,Web,Four-Door Car,Medsize,0.08673129218520069,0.9962268132074057,0.002160370655144836,0.0008582294383452088,0.0021011824180175802,0.0,2.959411856362789e-05
66,FL82372,Oregon,No,Basic,College,1/26/11,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer1,Agent,SUV,Medsize,0.35898387556540706,0.933328888688119,0.004636219254582398,0.0002897637034113999,0.0024836888863834275,0.0,0.00012418444431917138
67,DP45816,Arizona,No,Extended,High School or Below,1/10/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer4,Branch,Two-Door Car,Small,0.1859867299381167,0.982550480773353,0.0015500666271186163,7.990034160405238e-05,0.001038704440852681,0.0,3.196013664162096e-05
68,GW33762,Oregon,Yes,Extended,Bachelor,1/27/11,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Call Center,Two-Door Car,Large,0.9998974016854099,0.0,0.013874987938986559,0.0018986825600718449,0.002921050092418223,0.0,0.0007302625231045557
69,RZ33670,California,No,Premium,College,1/9/11,Disabled,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Web,Four-Door Car,Medsize,0.36536971715120187,0.9308569102913837,0.0031777303406981872,0.0005296217234496979,0.0,0.0,6.230843805290564e-05
70,PY70169,Oregon,No,Basic,High School or Below,2/24/11,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Offer4,Agent,SUV,Medsize,0.23654409730797185,0.9716200126201313,0.0011804309321056094,0.00017758695438756957,0.000125355497214755,0.0,2.089258286912583e-05
71,MO91628,Oregon,No,Basic,Master,2/11/11,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer2,Web,Two-Door Car,Large,0.04007566317887217,0.9991959664633083,0.0009963448872474924,0.0004445231035411889,0.0004138663377797276,0.0,1.5328382880730653e-05
72,HW87852,Oregon,No,Basic,Master,2/12/11,Medical Leave,M,Suburban,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize,0.09096783234425516,0.9958494692792857,0.002374603801560145,3.7103184399377265e-05,0.0017438496667707315,7.420636879875453e-05,3.7103184399377265e-05
73,HB20453,Oregon,No,Basic,Bachelor,2/4/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Sports Car,Medsize,0.9998722562949954,0.0,0.015334400715765067,0.004423384821855308,0.0004423384821855308,0.00014744616072851025,0.0007372308036425513
74,BN87372,Oregon,Yes,Basic,Bachelor,1/18/11,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Branch,Two-Door Car,Medsize,0.06562416087951638,0.9978436298723145,0.0008574353014343562,6.595656164879663e-05,0.0008970092384236342,3.957393698927798e-05,0.00011872181096783393
75,YX23800,Oregon,No,Basic,Bachelor,2/11/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Small,0.2152226552780758,0.9765625932279476,0.0018286750796644821,0.0006763592760402879,0.0009519130551678127,0.0,5.01006871140954e-05
76,DZ87709,Oregon,No,Basic,High School or Below,2/1/11,Employed,F,Rural,Single,Personal Auto,Personal L1,Offer2,Call Center,Four-Door Car,Medsize,0.0776382149946303,0.9969808569822831,0.00098572141936113,0.0002360178046357635,0.0006664032130892146,0.0,8.330040163615182e-05
77,XW13033,Nevada,No,Basic,College,2/15/11,Employed,M,Suburban,Married,Personal Auto,Personal L1,Offer2,Agent,Four-Door Car,Medsize,0.3569398776542708,0.9341210004090629,0.0029858359347076577,0.0008912943088679575,0.00147063560963213,0.0,8.912943088679576e-05
78,LN31673,Washington,No,Extended,College,2/6/11,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,0.27921519405424794,0.9602232506556917,0.0024423117903274024,0.00014801889638347892,0.0020475947333047917,4.933963212782631e-05,4.933963212782631e-05
79,OM82309,California,No,Basic,Bachelor,2/27/11,Employed,M,Rural,Single,Personal Auto,Personal L3,Offer2,Branch,Luxury Car,Small,0.688197821402437,0.7255196682568384,0.0022006597787996274,0.0,0.0003549451256128431,1.183150418709477e-05,2.366300837418954e-05
80,ZU35962,California,No,Extended,College,1/26/11,Unemployed,F,Rural,Single,Personal Auto,Personal L3,Offer3,Branch,Two-Door Car,Large,0.9999455903775861,0.0,0.009594219308177202,0.002492005015110962,0.0032396065196442503,0.0,0.00024920050151109615
81,VH85817,California,Yes,Basic,High School or Below,2/26/11,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Medsize,0.11247208691535511,0.9936537283202742,0.0014399086651725277,0.0004475391797157856,0.0,0.0,0.00015566580164027324
82,DT85712,California,No,Basic,Doctor,1/27/11,Employed,M,Suburban,Married,Personal Auto,Personal L1,Offer3,Branch,SUV,Medsize,0.11895034703229362,0.9928945478188034,0.002945931813296816,0.0003465802133290372,0.0015596109599806673,0.0,2.8881684444086433e-05
83,YJ88573,Nevada,No,Basic,Master,1/16/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Large,0.05847763716640974,0.9982872604757344,0.0014601619941022304,0.0008112011078345724,0.00034765761764338817,0.0,2.3177174509559213e-05
84,SQ19467,Oregon,No,Extended,College,1/27/11,Disabled,F,Suburban,Single,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Small,0.2515053889297436,0.967845511395897,0.0034535760853869925,0.0010744458932315088,0.002647741665463361,0.0,0.00011511920284623309
85,HF88410,Washington,No,Basic,High School or Below,2/28/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Call Center,Four-Door Car,Medsize,0.20507690939522508,0.9787438303082088,0.0017570268679543528,0.0003993242881714438,0.0008518918147657468,2.6621619211429586e-05,5.324323842285917e-05
86,ET79815,California,Yes,Extended,College,1/25/11,Retired,M,Suburban,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize,0.24860596170549973,0.968588220356753,0.004026870605614668,0.0011745039266376114,0.003775191192763751,0.0002097328440424306,0.0002097328440424306
87,QC35222,California,No,Basic,Bachelor,1/1/11,Employed,F,Urban,Married,Corporate Auto,Corporate L2,Offer3,Web,Four-Door Car,Medsize,0.055508236004504406,0.9984558678676493,0.0014272815861705816,6.205572113785138e-05,0.0016341339899634195,6.205572113785138e-05,2.0685240379283792e-05
88,CJ15590,Oregon,No,Basic,Bachelor,2/1/11,Employed,F,Suburban,Divorced,Personal Auto,Personal L2,Offer3,Branch,Four-Door Car,Medsize,0.08209288806001899,0.9966224469215867,0.0020407611229751317,0.0003959685760996524,0.0003655094548612177,0.0,3.0459121238434803e-05
89,OI48267,California,Yes,Extended,College,2/19/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize,0.28424804111653845,0.9587396931903815,0.003572475813025544,0.0007050939104655679,0.0028203756418622716,4.700626069770453e-05,0.00018802504279081812
90,JY67916,Oregon,No,Premium,College,1/27/11,Medical Leave,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Two-Door Car,Small,0.5221390708921242,0.8528408548084815,0.004717522508353521,0.000832503972062386,0.003211086749383489,3.964304628868505e-05,7.92860925773701e-05
91,OE75231,Washington,Yes,Extended,Bachelor,2/27/11,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Call Center,Two-Door Car,Medsize,0.1453501651343136,0.9893795416250347,0.001200239863013552,9.54736254669871e-05,4.091726805728018e-05,0.0,2.7278178704853455e-05
92,CZ33664,Oregon,No,Basic,Bachelor,1/17/11,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,0.03128918485574568,0.9995094842459704,0.0007798610114373344,0.0002970899091189846,0.0010398146819164459,0.0,1.2378746213291024e-05
93,WK30175,Oregon,No,Basic,Bachelor,2/10/11,Employed,M,Suburban,Married,Corporate Auto,Corporate L1,Offer1,Branch,Two-Door Car,Small,0.05052207862975457,0.9987206601367381,0.0012667881607883354,0.0004348675775840554,0.00166384116640856,0.0,1.8907285981915453e-05
94,ON44465,California,No,Extended,High School or Below,1/24/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize,0.9998906527090661,0.0,0.01449036694589745,0.001505492669703631,0.001881865837129539,0.00018818658371295388,0.001693679253416585
95,TV87155,Oregon,No,Basic,Bachelor,2/24/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Large,0.28766007274672334,0.9577319669736479,0.0010162632360556647,2.74665739474504e-05,0.0003570654613168552,1.37332869737252e-05,2.74665739474504e-05
96,KH48895,Arizona,No,Basic,Master,2/15/11,Medical Leave,F,Rural,Married,Personal Auto,Personal L3,Offer1,Branch,SUV,Medsize,0.42613568775796895,0.9046414745652819,0.005545889804702797,0.0006105566757470969,0.0009158350136206453,0.0,0.00045791750681032267
