,customer,state,response,coverage,education,effective to date,employmentstatus,gender,location code,marital status,policy type,policy,renew offer type,sales channel,vehicle class,vehicle size,vehicle type
55,XQ74827,Arizona,No,Extended,High School or Below,2/1/11,Employed,F,Suburban,Single,Special Auto,Special L3,Offer1,Agent,Luxury Car,Medsize,A
57,GB43363,Oregon,No,Premium,College,1/24/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Small,A
60,IQ95180,Oregon,No,Basic,Bachelor,1/19/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Small,A
61,JX52708,California,No,Basic,Bachelor,2/14/11,Medical Leave,M,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Call Center,Two-Door Car,Medsize,A
64,WL24392,Arizona,No,Basic,Bachelor,2/1/11,Employed,M,Rural,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize,A
66,UO54511,California,No,Basic,High School or Below,1/20/11,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer3,Agent,Four-Door Car,Medsize,A
68,NY12562,Nevada,No,Basic,College,1/5/11,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L2,Offer2,Branch,Four-Door Car,Medsize,A
69,QG27547,Oregon,Yes,Extended,Bachelor,1/3/11,Retired,F,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Medsize,A
71,LO37570,Arizona,No,Extended,High School or Below,1/7/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Medsize,A
78,LN28900,California,No,Extended,Bachelor,2/23/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Offer1,Web,Four-Door Car,Small,A
80,VM85555,California,No,Basic,College,2/23/11,Employed,F,Rural,Single,Personal Auto,Personal L2,Offer3,Branch,Four-Door Car,Medsize,A
82,FR48094,Arizona,No,Basic,High School or Below,2/15/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer4,Branch,Four-Door Car,Small,A
85,CH50584,Oregon,No,Basic,High School or Below,1/22/11,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Offer4,Call Center,SUV,Small,A
90,KO86181,Oregon,No,Basic,College,2/11/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,SUV,Small,A
95,NB81923,Washington,No,Basic,College,2/24/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Call Center,Sports Car,Medsize,A
98,PK23339,Arizona,No,Extended,High School or Below,1/25/11,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer2,Call Center,Four-Door Car,Medsize,A
101,UV12583,California,No,Basic,College,2/18/11,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer4,Agent,SUV,Medsize,A
102,VG56765,Arizona,Yes,Basic,High School or Below,1/15/11,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer2,Agent,Two-Door Car,Medsize,A
103,AK11669,Arizona,No,Extended,Doctor,1/17/11,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer3,Branch,Two-Door Car,Medsize,A
105,MS87381,California,No,Extended,High School or Below,2/14/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer3,Branch,Four-Door Car,Medsize,A
110,HB48073,Arizona,No,Basic,Bachelor,2/1/11,Employed,F,Urban,Married,Corporate Auto,Corporate L2,Offer1,Agent,SUV,Medsize,A
113,EC28398,Oregon,Yes,Basic,Master,1/28/11,Disabled,F,Suburban,Divorced,Corporate Auto,Corporate L2,Offer1,Agent,Four-Door Car,Small,A
114,FE99816,Nevada,No,Premium,Bachelor,1/19/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L1,Offer3,Web,Luxury Car,Medsize,A
115,HS39343,Washington,No,Basic,Bachelor,1/26/11,Disabled,F,Urban,Married,Corporate Auto,Corporate L3,Offer1,Agent,Luxury Car,Medsize,A
117,EF84269,California,No,Extended,College,2/21/11,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer1,Web,SUV,Medsize,A
118,RD22761,Washington,No,Basic,Bachelor,1/16/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Call Center,Four-Door Car,Medsize,A
119,DO41287,Oregon,No,Extended,High School or Below,2/18/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer3,Branch,Four-Door Car,Medsize,A
122,EW33419,California,Yes,Basic,High School or Below,1/19/11,Medical Leave,F,Suburban,Married,Corporate Auto,Corporate L2,Offer2,Call Center,SUV,Medsize,A
123,KH16079,Washington,No,Basic,High School or Below,2/12/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Small,A
129,ZM45168,Oregon,No,Basic,College,2/14/11,Disabled,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Medsize,A
134,BP28492,Arizona,Yes,Basic,College,1/31/11,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer2,Call Center,Four-Door Car,Medsize,A
137,GS85403,Washington,Yes,Extended,Master,2/23/11,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L2,Offer1,Branch,Sports Car,Medsize,A
138,SK95364,California,No,Extended,College,2/26/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer3,Agent,SUV,Medsize,A
139,UI80897,Washington,No,Basic,High School or Below,2/27/11,Employed,M,Suburban,Divorced,Corporate Auto,Corporate L2,Offer4,Call Center,Two-Door Car,Large,A
141,WP64059,California,No,Basic,Bachelor,1/6/11,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer3,Call Center,Two-Door Car,Medsize,A
142,IP52990,Oregon,No,Basic,High School or Below,2/24/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer2,Web,SUV,Medsize,A
143,VF36700,Oregon,No,Extended,Master,2/26/11,Retired,F,Urban,Single,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Medsize,A
144,NR16284,California,Yes,Extended,College,1/28/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Call Center,Two-Door Car,Small,A
146,XX53620,Oregon,No,Basic,Bachelor,2/2/11,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Offer4,Branch,Four-Door Car,Small,A
152,AZ64856,California,No,Extended,High School or Below,2/17/11,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer4,Agent,SUV,Large,A
153,SA88518,Oregon,No,Basic,College,1/19/11,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer1,Call Center,Two-Door Car,Medsize,A
156,MW48891,Washington,Yes,Basic,High School or Below,1/2/11,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Web,Sports Car,Medsize,A
159,KX55910,Oregon,No,Basic,College,1/15/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Web,Two-Door Car,Small,A
161,QB47024,Washington,No,Extended,Bachelor,2/17/11,Employed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize,A
165,JL70559,Arizona,No,Basic,College,2/2/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Small,A
166,TW73441,Nevada,No,Basic,High School or Below,1/26/11,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer2,Call Center,Four-Door Car,Medsize,A
167,PZ47901,Arizona,Yes,Basic,Bachelor,2/8/11,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Call Center,Four-Door Car,Medsize,A
171,HX74855,Washington,Yes,Basic,High School or Below,1/15/11,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer2,Agent,Two-Door Car,Medsize,A
173,CV40610,California,No,Premium,College,1/17/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Offer1,Call Center,Two-Door Car,Medsize,A
174,MV69686,Oregon,No,Extended,Doctor,1/3/11,Employed,F,Urban,Married,Corporate Auto,Corporate L2,Offer1,Agent,Four-Door Car,Large,A
175,IB67546,California,No,Basic,Bachelor,1/17/11,Medical Leave,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Call Center,SUV,Small,A
180,IG89777,California,No,Extended,High School or Below,1/9/11,Employed,M,Urban,Married,Corporate Auto,Corporate L2,Offer2,Call Center,Two-Door Car,Large,A
182,FL82372,Oregon,No,Basic,College,1/26/11,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer1,Agent,SUV,Medsize,A
185,DR84620,California,No,Basic,Bachelor,2/7/11,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer2,Call Center,SUV,Medsize,A
188,QQ25666,Arizona,No,Basic,High School or Below,1/25/11,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer2,Branch,Luxury Car,Medsize,A
191,YU79270,Arizona,No,Basic,College,1/15/11,Medical Leave,M,Suburban,Single,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Medsize,A
194,KC22636,California,No,Basic,High School or Below,2/17/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Large,A
195,SO43919,California,No,Extended,Bachelor,1/16/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,SUV,Medsize,A
197,WW30771,Arizona,No,Basic,Master,2/13/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer4,Branch,Four-Door Car,Small,A
198,BL29046,Oregon,Yes,Basic,Doctor,2/22/11,Employed,F,Urban,Married,Corporate Auto,Corporate L2,Offer2,Branch,Four-Door Car,Medsize,A
199,LN50325,Arizona,No,Extended,High School or Below,2/3/11,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer3,Branch,Sports Car,Medsize,A
203,SZ70655,California,No,Basic,College,1/31/11,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Agent,Two-Door Car,Large,A
204,QP69826,Arizona,Yes,Basic,Bachelor,1/7/11,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer2,Agent,SUV,Medsize,A
209,CM78608,California,No,Basic,High School or Below,1/31/11,Employed,F,Rural,Divorced,Personal Auto,Personal L3,Offer2,Call Center,Two-Door Car,Medsize,A
212,UX91266,California,No,Extended,Bachelor,1/10/11,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize,A
213,WO53546,Oregon,No,Basic,College,1/28/11,Unemployed,M,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Agent,Sports Car,Medsize,A
214,ZX85480,Washington,No,Basic,High School or Below,1/2/11,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer2,Call Center,Two-Door Car,Large,A
216,QJ22057,Nevada,No,Basic,College,2/22/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Large,A
217,FZ79470,Arizona,No,Basic,Bachelor,2/24/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer3,Web,Four-Door Car,Medsize,A
219,VE64781,Arizona,No,Basic,Bachelor,2/14/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Small,A
221,UB51030,Washington,No,Basic,High School or Below,2/15/11,Unemployed,F,Suburban,Single,Special Auto,Special L3,Offer1,Agent,Four-Door Car,Medsize,A
223,IE36279,California,No,Basic,Bachelor,2/6/11,Employed,M,Suburban,Divorced,Corporate Auto,Corporate L1,Offer3,Call Center,Two-Door Car,Medsize,A
227,BW80872,Washington,No,Premium,High School or Below,1/13/11,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer2,Web,Four-Door Car,Medsize,A
229,EP29567,Washington,No,Extended,Master,1/24/11,Retired,M,Suburban,Married,Corporate Auto,Corporate L1,Offer3,Web,Four-Door Car,Medsize,A
230,AX70794,California,No,Basic,High School or Below,2/4/11,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer2,Branch,Two-Door Car,Medsize,A
231,NJ46849,Arizona,No,Basic,College,1/9/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize,A
232,WH20102,California,Yes,Basic,College,1/11/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Call Center,SUV,Medsize,A
233,QO86948,Nevada,No,Basic,High School or Below,2/18/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Web,SUV,Small,A
234,DN14211,Oregon,No,Basic,College,1/17/11,Medical Leave,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,Two-Door Car,Medsize,A
236,YJ16163,Oregon,Yes,Premium,Bachelor,1/24/11,Employed,F,Suburban,Single,Special Auto,Special L3,Offer2,Agent,Luxury Car,Medsize,A
240,LH26563,Oregon,No,Premium,High School or Below,2/8/11,Disabled,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Web,Four-Door Car,Small,A
243,LE65901,Oregon,No,Basic,Bachelor,2/20/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Call Center,SUV,Medsize,A
246,MR60878,Oregon,No,Basic,Bachelor,2/15/11,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Offer2,Call Center,Four-Door Car,Small,A
247,CY45848,Oregon,No,Premium,Bachelor,1/30/11,Employed,F,Rural,Married,Personal Auto,Personal L1,Offer3,Branch,Four-Door Car,Medsize,A
250,HH30454,Oregon,No,Premium,Bachelor,2/23/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Branch,SUV,Medsize,A
253,NI18835,California,No,Basic,Bachelor,2/15/11,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Medsize,A
257,NL75739,Arizona,No,Basic,High School or Below,1/2/11,Disabled,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Two-Door Car,Medsize,A
258,RF94484,Oregon,Yes,Basic,College,1/28/11,Medical Leave,F,Suburban,Single,Corporate Auto,Corporate L3,Offer2,Web,Four-Door Car,Large,A
263,TK38732,Oregon,No,Extended,High School or Below,2/18/11,Employed,M,Urban,Married,Personal Auto,Personal L2,Offer4,Agent,SUV,Medsize,A
264,FI86516,Oregon,No,Basic,Bachelor,1/26/11,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L1,Offer1,Agent,Four-Door Car,Small,A
266,BS90503,Washington,No,Basic,Bachelor,2/15/11,Employed,F,Rural,Married,Personal Auto,Personal L1,Offer2,Web,Four-Door Car,Medsize,A
267,AG39150,Oregon,No,Basic,Bachelor,2/4/11,Unemployed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,A
271,MU76701,Washington,No,Extended,College,1/20/11,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer2,Call Center,Four-Door Car,Small,A
272,JH73503,Arizona,No,Basic,Doctor,2/1/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer3,Call Center,Two-Door Car,Small,A
273,JC38573,Oregon,Yes,Basic,Bachelor,1/19/11,Employed,M,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,A
274,NL33789,California,No,Basic,Bachelor,1/20/11,Employed,F,Rural,Divorced,Corporate Auto,Corporate L2,Offer2,Call Center,SUV,Medsize,A
279,VZ81004,Oregon,No,Premium,Master,1/26/11,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Call Center,Sports Car,Large,A
286,IB81655,California,No,Basic,Bachelor,1/24/11,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Branch,SUV,Medsize,A
288,BU72633,Nevada,No,Basic,Master,1/10/11,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,SUV,Medsize,A
289,PR37714,California,No,Extended,Bachelor,2/23/11,Employed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer3,Branch,Four-Door Car,Medsize,A
291,EP82214,Arizona,No,Extended,High School or Below,1/7/11,Employed,F,Urban,Married,Special Auto,Special L2,Offer2,Branch,Four-Door Car,Medsize,A
293,OY20177,Oregon,No,Extended,High School or Below,2/17/11,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer3,Branch,Four-Door Car,Medsize,A
297,LK57294,Oregon,No,Basic,High School or Below,2/25/11,Employed,M,Suburban,Married,Personal Auto,Personal L1,Offer4,Call Center,Four-Door Car,Medsize,A
298,LC33025,Oregon,No,Extended,College,2/14/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Call Center,Luxury Car,Medsize,A
299,NG15645,California,No,Basic,Master,1/11/11,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer2,Web,Four-Door Car,Medsize,A
302,CJ59481,Washington,No,Basic,College,2/28/11,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize,A
303,DN98431,Oregon,No,Basic,High School or Below,2/27/11,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Branch,Four-Door Car,Medsize,A
311,ZC32761,Arizona,No,Basic,Bachelor,2/15/11,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Large,A
319,RA38184,Arizona,No,Extended,Bachelor,2/3/11,Unemployed,F,Rural,Married,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,A
325,IN77241,Washington,No,Basic,Bachelor,2/6/11,Employed,M,Urban,Married,Corporate Auto,Corporate L1,Offer2,Branch,Two-Door Car,Medsize,A
327,OB66874,Oregon,No,Basic,College,1/12/11,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer3,Web,Two-Door Car,Large,A
331,HO29524,California,No,Extended,College,2/4/11,Employed,M,Rural,Married,Personal Auto,Personal L1,Offer4,Branch,Two-Door Car,Medsize,A
332,FK94501,Nevada,No,Basic,Bachelor,1/31/11,Unemployed,F,Urban,Married,Personal Auto,Personal L2,Offer1,Web,SUV,Large,A
336,LU79865,Nevada,No,Basic,Bachelor,2/27/11,Employed,M,Suburban,Divorced,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Small,A
343,CF41619,Nevada,No,Basic,College,2/9/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Small,A
344,JY16280,California,Yes,Basic,High School or Below,2/14/11,Employed,F,Rural,Single,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Medsize,A
348,UW10841,California,No,Basic,Bachelor,2/21/11,Employed,M,Urban,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize,A
349,ON39271,California,No,Basic,Master,2/21/11,Unemployed,M,Urban,Married,Personal Auto,Personal L2,Offer1,Branch,Two-Door Car,Medsize,A
350,OW33876,Washington,No,Basic,College,2/14/11,Employed,F,Urban,Married,Corporate Auto,Corporate L3,Offer2,Call Center,Two-Door Car,Medsize,A
351,TP41703,Washington,No,Basic,Bachelor,2/1/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer4,Call Center,Two-Door Car,Medsize,A
353,MQ73697,Nevada,No,Extended,College,2/21/11,Employed,F,Urban,Married,Corporate Auto,Corporate L3,Offer4,Call Center,Two-Door Car,Large,A
363,PR74833,Oregon,No,Extended,Bachelor,2/4/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize,A
366,RN71166,Oregon,No,Basic,High School or Below,1/26/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize,A
369,XY66810,California,No,Basic,Bachelor,2/9/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer2,Agent,Two-Door Car,Medsize,A
371,FP67680,California,No,Extended,High School or Below,1/20/11,Medical Leave,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize,A
372,XO75323,California,No,Basic,College,2/18/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Web,SUV,Medsize,A
373,VI78454,Arizona,No,Basic,College,1/22/11,Employed,M,Suburban,Divorced,Personal Auto,Personal L2,Offer4,Call Center,Four-Door Car,Large,A
375,XS74432,California,No,Basic,High School or Below,2/22/11,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer3,Agent,Four-Door Car,Medsize,A
376,QA49556,Washington,No,Basic,Master,1/31/11,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer4,Web,Four-Door Car,Medsize,A
377,QH87479,Oregon,No,Extended,High School or Below,1/6/11,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer3,Branch,Two-Door Car,Large,A
378,TQ13499,Arizona,No,Premium,College,1/2/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small,A
386,LK39646,Washington,No,Basic,Bachelor,2/28/11,Employed,F,Urban,Single,Corporate Auto,Corporate L1,Offer3,Call Center,Two-Door Car,Large,A
387,GB32334,California,No,Basic,College,2/10/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Large,A
389,QH48047,Oregon,Yes,Basic,College,1/3/11,Retired,M,Suburban,Divorced,Personal Auto,Personal L2,Offer2,Web,Four-Door Car,Medsize,A
390,LY83340,Oregon,No,Basic,High School or Below,1/5/11,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Offer1,Web,Two-Door Car,Medsize,A
391,PN47493,Oregon,No,Basic,College,2/11/11,Employed,F,Urban,Married,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,A
393,DA57177,Oregon,Yes,Basic,College,2/26/11,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer1,Agent,SUV,Medsize,A
396,VW13019,Nevada,Yes,Extended,College,2/14/11,Retired,F,Suburban,Divorced,Corporate Auto,Corporate L2,Offer1,Agent,Sports Car,Medsize,A
400,DQ58142,Arizona,No,Basic,High School or Below,1/8/11,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer4,Web,SUV,Medsize,A
406,UF36172,Oregon,No,Extended,High School or Below,2/22/11,Unemployed,F,Urban,Married,Personal Auto,Personal L3,Offer2,Branch,Two-Door Car,Medsize,A
411,IB60476,California,No,Basic,Master,1/25/11,Unemployed,M,Suburban,Married,Personal Auto,Personal L3,Offer4,Branch,Sports Car,Medsize,A
412,AM52614,Oregon,No,Basic,Bachelor,1/4/11,Employed,F,Suburban,Divorced,Personal Auto,Personal L2,Offer2,Branch,Sports Car,Medsize,A
413,IS58553,Oregon,No,Extended,High School or Below,2/26/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,SUV,Medsize,A
419,GW43195,Oregon,Yes,Extended,College,2/13/11,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Branch,Luxury Car,Small,A
421,PY10605,Arizona,No,Basic,Bachelor,1/23/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,Two-Door Car,Medsize,A
434,LZ34046,Oregon,Yes,Basic,Bachelor,1/31/11,Employed,M,Rural,Married,Personal Auto,Personal L1,Offer3,Agent,Four-Door Car,Medsize,A
440,VU99672,California,No,Extended,College,2/4/11,Unemployed,M,Urban,Married,Corporate Auto,Corporate L2,Offer1,Branch,Four-Door Car,Large,A
442,IP94270,Arizona,Yes,Premium,Master,2/13/11,Disabled,F,Suburban,Divorced,Personal Auto,Personal L2,Offer1,Web,SUV,Medsize,A
445,JP10227,California,Yes,Premium,College,1/1/11,Employed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Branch,Two-Door Car,Medsize,A
446,BP49831,Washington,No,Extended,Bachelor,1/16/11,Employed,F,Suburban,Single,Corporate Auto,Corporate L3,Offer2,Branch,Four-Door Car,Medsize,A
447,HD95496,Oregon,No,Basic,Master,2/3/11,Employed,M,Urban,Married,Personal Auto,Personal L1,Offer4,Agent,Two-Door Car,Medsize,A
449,FF65294,Oregon,No,Extended,High School or Below,1/23/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize,A
